S1,S2,S3,S4,S5,S6,S7,S8,Class
10,1,-7,-26,-21,4,13,1,C
-4,19,4,9,49,43,0,0,C
-4,-29,-9,20,-46,-24,3,-1,C
-9,-37,-16,-39,23,-39,-23,-9,C
-6,14,-1,-17,2,14,19,3,C
-3,-15,0,-9,-38,-9,2,3,C
-3,-5,-2,-3,-66,6,12,0,C
-2,3,14,-28,14,-2,20,-5,C
18,-5,-5,15,-3,-5,-7,1,C
-25,-36,-2,28,-12,12,-21,2,C
-15,4,-5,-13,23,-3,5,4,C
3,5,8,-19,23,9,24,1,C
19,12,6,35,16,-11,-4,-6,C
-2,-16,-7,-8,-9,-23,24,0,C
2,7,-1,2,24,5,-23,-4,C
-9,-29,-5,-1,21,-3,3,-1,C
-5,-5,-4,-22,-12,6,5,-1,C
-3,-6,-4,21,-7,5,-49,0,C
-5,7,-5,-15,-6,2,9,-7,C
-22,-7,-7,18,1,1,-8,-13,C
20,-1,7,39,41,17,29,-4,C
-5,-10,2,-1,39,-1,12,-1,C
-9,5,7,8,5,-8,-38,-13,C
-10,-2,3,3,-6,1,-5,2,C
-11,-1,-2,2,-25,-19,-2,1,C
1,0,-9,-4,-10,2,20,-2,C
-13,-14,-2,28,-20,-3,6,20,C
-18,0,-2,-5,-19,1,-3,5,C
1,18,8,-3,-36,-2,6,-2,C
11,-5,-5,0,5,5,1,-3,C
4,4,1,-34,-14,2,-14,0,C
5,3,16,32,56,26,9,4,C
2,-3,-1,9,-9,-31,-4,-1,C
-4,-11,-11,-31,-55,-20,18,-8,C
7,17,9,24,9,21,7,-2,C
-9,19,5,-4,-31,-15,-26,-2,C
7,1,-4,12,-13,4,20,9,C
-8,-10,-1,-61,-46,-1,-38,-12,C
-5,-5,-7,-33,-53,-4,14,3,C
-11,-21,-16,4,-27,4,-7,2,C
10,1,2,10,27,-1,1,-5,C
-17,-8,0,-6,39,-7,5,-4,C
-7,-6,5,-6,23,-23,-33,-6,C
1,3,0,11,35,36,10,2,C
0,-1,17,-10,29,0,14,-1,C
11,20,18,27,29,3,0,0,C
3,9,-1,0,-30,-6,19,9,C
5,-7,-17,-13,-19,8,-20,-5,C
9,-8,-2,9,10,-11,10,1,C
-19,9,-10,-3,-16,-4,2,1,C
-3,-11,1,2,-4,-1,-4,-4,C
5,-1,-8,-70,8,-8,-21,-2,C
4,2,-2,5,-10,-3,20,0,C
-8,-6,-1,36,-30,5,-3,-5,C
4,6,-1,24,9,13,-11,-2,C
-12,1,9,10,-14,-13,1,-1,C
9,16,5,-10,-34,-4,6,4,C
3,-9,-7,-2,-23,-23,5,-3,C
3,20,13,12,33,3,-20,2,C
-4,6,-6,-8,-40,11,11,6,C
3,-3,-2,-43,12,-3,1,0,C
23,13,11,11,-3,-7,-11,0,C
-5,-36,2,53,35,9,10,2,C
-6,11,-3,-8,-1,-15,6,3,C
2,11,-9,1,-8,-13,-13,-1,C
-22,-14,-3,-3,13,12,6,7,C
10,6,-2,-9,-8,-17,-7,-1,C
0,-12,-5,-2,-9,-12,15,-1,C
-2,-8,-10,-7,18,-3,11,-2,C
-6,-6,-5,-16,-100,-17,-11,-3,C
-6,-1,-2,-10,27,18,3,-2,C
16,2,15,26,26,-10,-8,5,C
-12,33,6,13,36,0,-5,-8,C
5,1,9,10,6,22,14,1,C
2,3,17,-43,9,-2,-1,3,C
-3,27,-12,-14,15,9,29,-1,C
-3,8,-2,17,6,17,4,-9,C
2,2,-3,-5,-35,-8,5,6,C
6,2,-5,7,-7,-13,-23,-2,C
-1,17,0,1,0,-10,-22,-1,C
-9,-7,-8,-5,-11,-12,17,-7,C
-7,-15,-7,10,-21,-25,-5,-14,C
1,0,-4,8,14,5,-6,-3,C
-8,0,3,-9,26,26,1,2,C
6,2,0,-1,3,1,-12,3,D
0,-4,-13,-11,-28,-5,-9,-2,D
-2,-7,-10,-20,4,7,5,1,D
-4,3,1,7,-15,-4,7,5,D
9,-4,-1,0,8,8,12,3,D
-4,-14,-7,4,14,11,22,3,D
-2,-1,5,8,18,15,-1,-3,D
-1,17,14,-6,57,21,22,9,D
7,3,2,-3,28,11,5,-3,D
3,0,5,6,-17,-4,-5,1,D
-6,-2,1,8,-60,-10,6,-5,D
6,-19,0,9,14,26,9,2,D
1,-6,-7,-10,-3,-7,-13,-1,D
11,-5,0,-18,5,2,1,1,D
-31,6,5,24,6,-2,6,-5,D
15,-6,-5,0,4,-12,-18,0,D
15,3,9,22,23,5,2,3,D
5,-3,2,3,14,-2,-22,0,D
-10,-1,-2,4,-11,-2,-8,-7,D
4,13,-5,-7,17,-7,13,-3,D
-7,-2,0,3,-1,-3,-4,0,D
1,13,7,11,8,28,26,6,D
6,1,12,15,9,-4,-10,6,D
-13,-9,-5,-5,12,5,-23,-7,D
-5,11,-1,4,5,-6,-18,-5,D
5,-10,-3,-19,-5,-1,-2,-1,D
0,-10,2,6,26,9,13,-1,D
-7,8,5,17,12,-1,-15,-6,D
5,4,5,22,-18,8,22,8,D
9,2,1,-11,-30,-11,-4,0,D
5,1,-4,-13,-12,2,-3,4,D
-6,0,2,4,-19,-14,-6,-8,D
-3,-4,-4,-3,-32,-9,12,-4,D
5,-2,-7,-9,-13,-6,-5,-3,D
9,11,7,17,5,-9,5,0,D
-21,-12,-14,-10,1,-6,1,-3,D
5,-1,7,15,21,4,8,2,D
-1,-1,-9,-24,-48,-2,-2,-1,D
4,10,6,11,-17,1,5,2,D
-5,-3,0,-10,-2,7,7,2,D
-9,-4,-10,-1,31,-1,9,-6,D
-8,4,-8,-12,-37,-22,-22,-1,D
-1,2,-10,-6,23,4,-27,-13,D
11,-13,0,7,-2,8,29,6,D
-17,-4,-1,0,-6,0,8,1,D
-2,6,3,8,12,-1,-3,2,D
-3,-18,15,21,27,10,12,0,D
-2,-10,-11,-14,-31,-3,2,-6,D
-10,-5,9,16,11,8,14,4,D
-7,3,-6,-9,6,1,17,-1,D
0,8,1,-8,-81,-7,-2,2,D
3,-2,5,-11,-2,4,10,6,D
